"Year","Month","Day","Dep_Time","Dep_Delay","arr_Time","arr_Delay","Carrier","TailNum","Flight","Origin","Dest","Air_Time","Distance","Hour","Minute"
"2013","1","1","517","2","830","11","UA","N14228","1545","EWR","IAH","227","1400","5","17"
"2013","1","1","533","4","850","20","UA","N24211","1714","LGA","IAH","227","1416","5","33"
"2013","1","1","542","2","923","33","AA","N619AA","1141","JFK","MIA","160","1089","5","42"
"2013","1","1","544","-1","1004","-18","B6","N804JB","725","JFK","BQN","183","1576","5","44"
"2013","1","1","554","-6","812","-25","DL","N668DN","461","LGA","ATL","116","762","6","54"
"2013","1","1","554","-4","740","12","UA","N39463","1696","EWR","ORD","150","719","6","54"
"2013","1","1","555","-5","913","19","B6","N516JB","507","EWR","FLL","158","1065","6","55"
"2013","1","1","557","-3","709","-14","EV","N829AS","5708","LGA","IAD","53","229","6","57"
"2013","1","1","557","-3","838","-8","B6","N593JB","79","JFK","MCO","140","944","6","57"
"2013","1","1","558","-2","753","8","AA","N3ALAA","301","LGA","ORD","138","733","6","58"
"2013","1","1","558","-2","849","-2","B6","N793JB","49","JFK","PBI","149","1028","6","58"
"2013","1","1","558","-2","853","-3","B6","N657JB","71","JFK","TPA","158","1005","6","58"
"2013","1","1","558","-2","924","7","UA","N29129","194","JFK","LAX","345","2475","6","58"
"2013","1","1","558","-2","923","-14","UA","N53441","1124","EWR","SFO","361","2565","6","58"
"2013","1","1","559","-1","941","31","AA","N3DUAA","707","LGA","DFW","257","1389","6","59"
"2013","1","1","559","0","702","-4","B6","N708JB","1806","JFK","BOS","44","187","6","59"
"2013","1","1","559","-1","854","-8","UA","N76515","1187","EWR","LAS","337","2227","6","59"
"2013","1","1","600","0","851","-7","B6","N595JB","371","LGA","FLL","152","1076","6","0"
"2013","1","1","600","0","837","12","MQ","N542MQ","4650","LGA","ATL","134","762","6","0"
"2013","1","1","601","1","844","-6","B6","N644JB","343","EWR","PBI","147","1023","6","1"
"2013","1","1","602","-8","812","-8","DL","N971DL","1919","LGA","MSP","170","1020","6","2"
"2013","1","1","602","-3","821","16","MQ","N730MQ","4401","LGA","DTW","105","502","6","2"
"2013","1","1","606","-4","858","-12","AA","N633AA","1895","EWR","MIA","152","1085","6","6"
"2013","1","1","606","-4","837","-8","DL","N3739P","1743","JFK","ATL","128","760","6","6"
"2013","1","1","607","0","858","-17","UA","N53442","1077","EWR","MIA","157","1085","6","7"
"2013","1","1","608","8","807","32","MQ","N9EAMQ","3768","EWR","ORD","139","719","6","8"
"2013","1","1","611","11","945","14","UA","N532UA","303","JFK","SFO","366","2586","6","11"
"2013","1","1","613","3","925","4","B6","N635JB","135","JFK","RSW","175","1074","6","13"
"2013","1","1","615","0","1039","-21","B6","N794JB","709","JFK","SJU","182","1598","6","15"
"2013","1","1","615","0","833","-9","DL","N326NB","575","EWR","ATL","120","746","6","15"
"2013","1","1","622","-8","1017","3","US","N807AW","245","EWR","PHX","342","2133","6","22"
"2013","1","1","623","13","920","5","AA","N3EMAA","1837","LGA","MIA","153","1096","6","23"
"2013","1","1","623","-4","933","1","UA","N459UA","496","LGA","IAH","229","1416","6","23"
"2013","1","1","624","-6","909","29","EV","N11107","4626","EWR","MSP","190","1008","6","24"
"2013","1","1","624","-6","840","10","MQ","N518MQ","4599","LGA","MSP","166","1020","6","24"
"2013","1","1","627","-3","1018","0","US","N535UW","27","JFK","PHX","330","2153","6","27"
"2013","1","1","628","-2","1137","-3","AA","N3BAAA","413","JFK","SJU","192","1598","6","28"
"2013","1","1","628","-2","1016","29","UA","N33289","1665","EWR","LAX","366","2454","6","28"
"2013","1","1","629","-1","824","14","AA","N3CYAA","303","LGA","ORD","140","733","6","29"
"2013","1","1","629","-1","721","-19","WN","N273WN","4646","LGA","BWI","40","185","6","29"
"2013","1","1","629","-1","824","-9","US","N426US","1019","EWR","CLT","91","529","6","29"
"2013","1","1","632","24","740","12","EV","N13553","4144","EWR","IAD","52","212","6","32"
"2013","1","1","635","0","1028","48","AA","N3GKAA","711","LGA","DFW","248","1389","6","35"
"2013","1","1","637","-8","930","-5","B6","N709JB","389","LGA","MCO","144","950","6","37"
"2013","1","1","639","-1","739","-10","B6","N805JB","1002","JFK","BOS","41","187","6","39"
"2013","1","1","643","-3","922","-18","UA","N497UA","556","EWR","PBI","146","1023","6","43"
"2013","1","1","643","-2","837","-11","US","N178US","926","EWR","CLT","91","529","6","43"
"2013","1","1","644","8","931","-9","UA","N75435","1701","EWR","FLL","151","1065","6","44"
"2013","1","1","645","-2","815","5","B6","N796JB","102","JFK","BUF","63","301","6","45"
"2013","1","1","646","1","910","-6","UA","N569UA","883","LGA","DEN","243","1620","6","46"
